Product Name,Style Code,Stock Control,Code,Supplier Code,Supplier,Contact ID
WINDSOR 5273 SERIES - NECKED OUTWARD REVERSE BOLT 150MM - ANTIQUE BRONZE,5273-AB,Batch,WIN5273B,5273-AB,Windsor Brass,2019
WINDSOR 5271 SERIES - NECKED INWARD REVERSE BOLT 150MM - NATURAL BRONZE,5271-NB,Batch,WIN5271NB,5271-NB,Windsor Brass,2019
WINDSOR 5271 SERIES - NECKED INWARD REVERSE BOLT 150MM - OIL RUBBED BRONZE,5271-OR,Batch,WIN5271OR,5271-OR,Windsor Brass,2019
WINDSOR 5271 SERIES - NECKED INWARD REVERSE BOLT 150MM - POLISHED BRASS,5271-PB,Batch,WIN5271PB,5271-PB,Windsor Brass,2019
WINDSOR 5271 SERIES - NECKED INWARD REVERSE BOLT 150MM - POWDERCOAT,5271-PC,Batch,WIN5271PC,5271-PC,Windsor Brass,2019
WINDSOR 5271 SERIES - NECKED INWARD REVERSE BOLT 150MM - ROMAN BRASS,5271-RB,Batch,WIN5271RB,5271-RB,Windsor Brass,2019
WINDSOR 5297 SERIES - ALUMINIUM HAT & COAT HOOK 3 PACK - BRUSHED NICKEL,5297-BN,Batch,WIN5297BN,5297-BN,Windsor Brass,2019
WINDSOR 5297 SERIES - ALUMINIUM HAT & COAT HOOK 3 PACK - SATIN ANODISED,5297-SA,Batch,WIN5297SA,5297-SA,Windsor Brass,2019
WINDSOR 5308 SERIES - HEAVY DUTY FLUSHBOLT 150X25MM - ANTIQUE BRONZE,5308-AB,Batch,WIN5308AB,5308-AB,Windsor Brass,2019
WINDSOR 5308 SERIES - HEAVY DUTY FLUSHBOLT 150X25MM - BRUSHED NICKEL,5308-BN,Batch,WIN5308BN,5308-BN,Windsor Brass,2019
WINDSOR 5308 SERIES - HEAVY DUTY FLUSHBOLT 150X25MM - NATURAL BRONZE,5308-NB,Batch,WIN5308NB,5308-NB,Windsor Brass,2019
WINDSOR 5308 SERIES - HEAVY DUTY FLUSHBOLT 150X25MM - OIL RUBBED BRONZE,5308-OR,Batch,WIN5308OR,5308-OR,Windsor Brass,2019
WINDSOR 5308 SERIES - HEAVY DUTY FLUSHBOLT 150X25MM - POLISHED BRASS,5308-PB,Batch,WIN5308PB,5308-PB,Windsor Brass,2019
WINDSOR 5308 SERIES - HEAVY DUTY FLUSHBOLT 150X25MM - POWDERCOAT,5308-PC,Batch,WIN5308PC,5308-PC,Windsor Brass,2019
WINDSOR 5308 SERIES - HEAVY DUTY FLUSHBOLT 150X25MM - ROMAN BRASS,5308-RB,Batch,WIN5308RB,5308-RB,Windsor Brass,2019
WINDSOR 5316 SERIES - PEDESTAL POST DOORSTOP HOLDER (INC 5133) - POWDERCOAT,5316-PC,Batch,WIN5316PC,5316-PC,Windsor Brass,2019
WINDSOR 5316 SERIES - PEDESTAL POST DOORSTOP HOLDER (INC 5133) - SILVER PEARL,5316-SVPRL,Batch,WIN5316SVPRL,5316-SVPRL,Windsor Brass,2019
WINDSOR 5309 SERIES - EDGEPULL SQUARE - 25X25MM - BRUSHED NICKEL,5309-BN,Batch,WIN5309BN,5309-BN,Windsor Brass,2019
WINDSOR 5309 SERIES - EDGEPULL SQUARE - 25X25MM - SATIN CHROME,5309-SC,Batch,WIN5309SC,5309-SC,Windsor Brass,2019
WINDSOR 5309 SERIES - EDGEPULL SQUARE - 25X25MM - MATT BLACK,5309-BLK,Batch,WIN5309BLK,5309-BLK,Windsor Brass,2019
WINDSOR 5309 SERIES - EDGEPULL SQUARE - 25X25MM - POWDERCOAT,5309-PC,Batch,WIN5309PC,5309-PC,Windsor Brass,2019
WINDSOR 5308 SERIES - HEAVY DUTY FLUSHBOLT 150X25MM - SATIN CHROME,5308-SC,Batch,WIN5308SC,5308-SC,Windsor Brass,2019
WINDSOR 5308 SERIES - HEAVY DUTY FLUSHBOLT 150X25MM - UNLACQUERED BRASS,5308-UB,Batch,WIN5308UB,5308-UB,Windsor Brass,2019
WINDSOR 5308 SERIES - HEAVY DUTY FLUSHBOLT 150X25MM - UNLACQUERED SATIN BRASS,5308-USB,Batch,WIN5308USB,5308-USB,Windsor Brass,2019
WINDSOR 5308 SERIES - HEAVY DUTY FLUSHBOLT 150X25MM - DARK ROMAN BRASS,5308-DRB,Batch,WIN5308DRB,5308-DRB,Windsor Brass,2019
WINDSOR 5271 SERIES - NECKED INWARD REVERSE BOLT 150MM - UNLACQUERED BRASS,5271-UB,Batch,WIN5271UB,5271-UB,Windsor Brass,2019
WINDSOR 5271 SERIES - NECKED INWARD REVERSE BOLT 150MM - UNLACQUERED SATIN BRASS,5271-USB,Batch,WIN5271USB,5271-USB,Windsor Brass,2019
WINDSOR 5273 SERIES - NECKED OUTWARD REVERSE BOLT 150MM - DARK ROMAN BRASS,5273-DRB,Batch,WIN5273DRB,5273-DRB,Windsor Brass,2019
